,id,name,state,latitude,longitude,source,dayduration,age,total_spent_Doohickey,total_spent_Gadget,total_spent_Gizmo,total_spent_Widget,total_orders,discount_usage_proportion,email_provider
40,41,Bernadine Gorczany,IA,41.5396,-93.8748,Google,2455,40,75.9672,0.0,0.0,0.0,1.0,0.0,hotmail
41,42,Reyes Strosin,NY,44.1068,-75.9958,Google,2862,32,489.5768,246.6634,1072.5536,1423.7385,15.0,0.06666666666666667,yahoo
42,43,Chaya Volkman,IA,42.4388,-92.6714,Twitter,2809,62,,,,,,,hotmail
43,44,Carroll Kohler,IA,43.0246,-94.6294,Facebook,2960,25,665.2796,869.0319000000001,305.5508,0.0,9.0,0.1111111111111111,hotmail
44,45,Gilbert Abbott,IA,41.3221,-91.4749,Organic,3060,61,280.0195,176.609,246.92079999999999,626.9242,10.0,0.0,yahoo
45,46,Kaleb Swaniawski,MI,44.854,-84.8771,Twitter,2209,28,0.0,148.819,0.0,0.0,1.0,0.0,gmail
46,47,Bradley Green,AZ,35.3371,-111.364,Organic,2575,44,73.9918,816.1199,109.1684,360.0046,8.0,0.125,yahoo
47,48,Logan Weber,KS,39.988,-97.1458,Organic,2636,36,393.0489,1175.4017,1019.7057,1020.9553999999999,22.0,0.09090909090909091,yahoo
48,49,Zane Koelpin,MO,37.1383,-94.1122,Twitter,2339,57,2780.4746999999998,1596.987,436.6736,847.67,19.0,0.05263157894736842,gmail
49,50,Stacy Wisozk,ND,48.2384,-97.8694,Twitter,2575,57,891.7130999999999,116.9274,650.0242000000001,146.4352,9.0,0.1111111111111111,gmail
50,51,Alvah Wilderman,MS,33.4934,-89.8907,Twitter,2549,59,0.0,146.4078,0.0,45.4851,2.0,0.0,hotmail
51,52,Velma Little,GA,34.0571,-83.8153,Google,2449,42,490.5593,0.0,0.0,1048.7969,4.0,0.0,yahoo
52,53,Nikolas Romaguera,MS,34.2721,-89.1858,Facebook,2348,50,194.8725,674.5524,0.0,270.31550000000004,4.0,0.25,yahoo
53,54,Davin Stamm,NE,42.3241,-96.7454,Affiliate,2913,53,193.3838,321.7678,576.0931,235.38930000000002,14.0,0.0,yahoo
54,55,Holly Bayer,AL,32.1412,-85.6383,Affiliate,2678,37,,,,,,,gmail
55,56,Seth Willms,CO,40.5975,-102.531,Google,2780,55,487.4425,264.9135,887.0087000000001,756.7555,10.0,0.1,gmail
56,57,Jordy Haag,ID,46.5789,-116.538,Twitter,2584,45,737.0740999999999,880.4154,759.5646,1749.9645,22.0,0.045454545454545456,yahoo
57,58,Dawson Kovacek,KY,37.8206,-87.2487,Facebook,3176,41,937.4260999999999,529.4594,0.0,1617.3598,13.0,0.0,hotmail
58,59,Hugh Hahn,CO,37.423,-105.372,Organic,2950,58,227.747,422.4864,0.0,76.9533,4.0,0.25,hotmail
59,60,Edgardo Hackett,WV,38.1119,-82.5399,Twitter,3002,28,458.77750000000003,394.12260000000003,109.986,941.7743,14.0,0.0,hotmail
60,61,Lina Labadie,NC,35.6992,-81.0173,Google,3173,40,0.0,853.5764,58.9266,181.5484,5.0,0.2,gmail
61,62,Angelica Zulauf,FL,27.8721,-82.6132,Affiliate,2982,39,,,,,,,hotmail
62,63,Delilah Stoltenberg,IA,43.2109,-95.247,Organic,2291,27,456.2711,1013.2791000000001,668.0352,1239.0795,19.0,0.10526315789473684,yahoo
63,64,Terrence Grimes,NY,42.7235,-75.8565,Affiliate,2188,56,0.0,273.2964,0.0,146.4352,2.0,0.0,gmail
64,65,Arne O'Hara,SD,44.7004,-102.193,Facebook,2986,45,831.6198,2444.3442,2361.6566,4869.1384,37.0,0.08108108108108109,gmail
65,66,Gladys Dare,NY,43.764,-75.3819,Twitter,3085,30,736.1012000000001,314.3054,624.6152000000001,230.8599,10.0,0.2,gmail
66,67,Keyon Stroman,AK,56.2609,-158.702,Affiliate,2438,37,,,,,,,yahoo
67,68,Colton Hauck,IN,37.8902,-87.1323,Affiliate,3198,61,1138.4078,1337.761,745.0037,740.9634,24.0,0.0,yahoo
68,69,Anibal Hansen,IA,42.3421,-96.0378,Facebook,2719,55,123.0858,445.1054,464.6498,997.6126,11.0,0.09090909090909091,yahoo
69,70,Maya Berge,NE,42.1363,-99.8663,Twitter,3145,31,1984.4494,161.9378,1536.3158,1150.1066,22.0,0.09090909090909091,hotmail
70,71,Lillian Green,WY,44.5004,-109.286,Affiliate,3166,56,,,,,,,yahoo
71,72,Eula O'Connell,FL,30.6044,-85.0278,Facebook,2792,63,0.0,131.0018,1091.7746,122.07939999999999,8.0,0.25,hotmail
72,73,Stan Hessel,MA,42.5549,-72.6583,Organic,2383,56,72.74249999999999,672.4411,323.15610000000004,1167.7424,13.0,0.07692307692307693,hotmail
73,74,Jarret Marvin,IN,39.6294,-85.3744,Twitter,2178,56,1153.4818,2287.2265,2046.4842,1619.8766,31.0,0.06451612903225806,gmail
74,75,Isobel Fadel,SD,43.1848,-100.033,Affiliate,2422,30,0.0,0.0,0.0,82.7914,1.0,0.0,gmail
75,76,Amiya Considine,MS,32.9558,-89.0666,Google,2741,54,168.66899999999998,163.1536,509.0971,218.4372,7.0,0.2857142857142857,yahoo
76,77,Felipe Wilkinson,KY,37.1229,-83.9971,Organic,2557,36,0.0,0.0,1617.0403999999999,0.0,4.0,0.0,hotmail
77,78,Keenan Schaefer,MT,45.8382,-111.496,Affiliate,3196,31,,,,,,,gmail
78,79,Palma Volkman,FL,28.4121,-81.4378,Google,2178,34,,,,,,,gmail
79,80,Wilhelm Willms,TX,33.2513,-95.8858,Twitter,2551,32,261.613,544.5362,822.7176000000001,393.92760000000004,15.0,0.13333333333333333,gmail
80,81,Curt Baumbach,WA,48.149,-122.137,Facebook,2601,62,0.0,0.0,341.36299999999994,0.0,2.0,0.0,hotmail
81,82,Macy Olson,AR,36.2021,-94.431,Organic,3108,53,,,,,,,gmail
82,83,Theresa Kertzmann,MT,48.6053,-109.22,Facebook,3131,35,211.3068,0.0,46.7641,227.4255,3.0,0.0,hotmail
83,84,Dorris Frami,IN,40.8042,-86.014,Google,2637,61,213.1628,0.0,193.3072,0.0,3.0,0.0,hotmail
84,85,Vernice Steuber,MA,42.6392,-72.5028,Google,2455,53,246.83520000000001,1248.5411,572.2339000000001,356.054,12.0,0.0,yahoo
85,86,Oda Brakus,CA,40.296,-122.441,Twitter,2741,43,675.5291,640.4936,76.3877,593.8473,8.0,0.0,hotmail
86,87,Heber Vandervort,OR,42.168,-121.867,Google,2481,41,2366.0271000000002,1187.7567,1704.6776000000002,1523.8387,33.0,0.09090909090909091,hotmail
87,88,Breanne Schiller,CA,41.3503,-123.849,Google,2631,25,210.1533,601.2491,0.0,0.0,3.0,0.3333333333333333,gmail
88,89,Durward Ledner,MN,43.5904,-91.3315,Affiliate,2923,35,,,,,,,hotmail
89,90,Scarlett Beahan,AR,34.5052,-93.007,Twitter,2729,33,,,,,,,yahoo
90,91,Myrtis Labadie,TX,31.3694,-103.583,Google,2416,51,620.2523,549.924,563.6278,919.0799999999999,10.0,0.1,yahoo
91,92,Tatyana Steuber,SD,43.057,-97.9539,Twitter,2386,32,641.7762,400.5476,349.1652,140.272,8.0,0.125,hotmail
92,93,Broderick Wintheiser,AK,61.3721,-150.098,Affiliate,2988,63,,,,,,,yahoo
93,94,Armando Herzog,OR,44.7873,-120.935,Affiliate,2151,52,,,,,,,hotmail
94,95,Aurelie Spinka,WA,47.4154,-117.777,Organic,2340,64,212.48409999999998,1641.3564000000001,972.2363,1006.2426,21.0,0.19047619047619047,gmail
95,96,Ayden Heller,AR,33.2537,-92.1484,Organic,2492,61,,,,,,,yahoo
96,97,Quentin Leannon,CA,36.6456,-120.003,Facebook,2956,25,0.0,450.21500000000003,127.6815,0.0,3.0,0.0,hotmail
97,98,Lucas Beer,OH,38.8234,-82.6755,Google,3055,46,0.0,237.8634,250.7364,0.0,3.0,0.0,gmail
98,99,Alicia Cormier,ID,46.3318,-116.292,Organic,2707,65,224.8365,432.9134,338.1479,186.5256,7.0,0.0,yahoo
99,100,Nels Heaney,NY,43.713,-75.4391,Organic,2761,29,0.0,353.218,45.1817,624.0775000000001,5.0,0.0,yahoo
100,101,Beryl Reichel,MO,38.0319,-94.2752,Twitter,2927,60,319.5123,253.267,447.5317,269.1895,14.0,0.21428571428571427,yahoo
101,102,Kade Kub,MT,46.6588,-113.654,Facebook,2369,42,,,,,,,hotmail
102,103,Jayce Hilpert,ND,47.6128,-96.9682,Facebook,2836,46,,,,,,,yahoo
103,104,Briana Kuphal,TN,35.5989,-84.8353,Twitter,2313,33,,,,,,,yahoo
104,105,Carleton Effertz,CA,39.6136,-122.571,Facebook,3005,58,63.6598,220.231,31.3838,109.167,4.0,0.0,gmail
105,106,Rosina O'Connell,IN,39.8864,-86.5583,Google,3093,45,,,,,,,hotmail
106,107,Verla O'Kon,IA,42.7814,-94.8164,Affiliate,2593,38,29.5172,399.04380000000003,0.0,327.3487,4.0,0.5,gmail
107,108,Archibald Von,TX,33.5097,-96.0324,Facebook,2792,55,314.97339999999997,356.1093,1235.7783,410.71889999999996,14.0,0.07142857142857142,yahoo
108,109,Anais Dare,OH,40.9193,-81.5459,Google,2274,62,,,,,,,yahoo
109,110,Alexanne Wisoky,IN,40.8915,-87.29,Google,3100,57,,,,,,,yahoo
110,111,Augustine Runolfsdottir,LA,30.0178,-93.0878,Google,3100,27,636.4125,957.8914,2258.2884,1033.2519,20.0,0.15,gmail
111,112,Theresa Grant,CA,39.2802,-122.197,Google,2298,36,868.2342,105.5388,510.74210000000005,578.8907,8.0,0.0,yahoo
112,113,Kathleen Quitzon,MT,48.6554,-104.929,Google,2856,59,337.9258,1015.0973,715.8965000000001,690.9334,17.0,0.17647058823529413,yahoo
113,114,Wilbert Greenfelder,NJ,40.9225,-74.6548,Facebook,2625,58,,,,,,,gmail
114,115,Edwin Spencer,TX,29.1886,-95.4851,Facebook,2870,30,240.8408,76.8368,164.2784,1312.2329,10.0,0.0,gmail
115,116,Jimmie Doyle,MT,46.1367,-106.463,Facebook,2282,47,147.9836,58.3676,0.0,191.01,3.0,0.0,hotmail
116,117,Hollis Hettinger,PA,41.602,-80.3263,Organic,2970,30,370.7746,1346.7116,635.2378,594.4277,15.0,0.13333333333333333,gmail
117,118,Diego Will,TX,31.3799,-94.5246,Affiliate,2939,48,123.9572,342.8112,366.7864,984.1484,7.0,0.2857142857142857,yahoo
118,119,Makayla Heathcote,GA,34.2667,-83.7452,Facebook,2940,55,153.5553,166.983,0.0,286.515,3.0,0.0,gmail
119,120,Ashton Schmidt,MA,42.5938,-72.0211,Affiliate,2400,30,0.0,66.7932,0.0,0.0,1.0,0.0,yahoo
120,121,Trace Morar,SD,43.3302,-97.8519,Google,2873,53,,,,,,,yahoo
121,122,Brant Dare,CA,34.751,-119.427,Twitter,2816,40,545.0603,0.0,138.72299999999998,0.0,4.0,0.0,yahoo
122,123,Gerald Hermiston,PA,41.4659,-74.9889,Affiliate,2969,28,,,,,,,yahoo
123,124,Franco O'Reilly,ND,47.8845,-97.6237,Affiliate,2297,48,937.9318,650.3534,434.47400000000005,1352.6443,15.0,0.13333333333333333,yahoo
124,125,Geoffrey D'Amore,MI,46.358,-87.8291,Facebook,2260,53,112.1022,0.0,540.588,564.9475,5.0,0.2,yahoo
125,126,Kris Yost,TX,31.9218,-98.3241,Google,2607,38,,,,,,,hotmail
126,127,Hans Hagenes,IN,41.1491,-87.1797,Facebook,2861,58,,,,,,,hotmail
127,128,Jakob Kerluke,CO,37.7031,-106.374,Organic,2446,66,570.0767999999999,294.76570000000004,200.3624,404.1956,12.0,0.08333333333333333,gmail
128,129,Grace Casper,KY,37.263,-86.1622,Affiliate,2278,32,489.167,1006.2022,1077.0858,583.9775999999999,15.0,0.06666666666666667,hotmail
129,130,Myrna Hickle,WY,43.1533,-105.019,Google,2424,50,140.1022,267.6912,350.5352,67.13579999999999,8.0,0.125,hotmail
130,131,Melisa Walter,VA,38.5539,-78.8551,Facebook,2820,56,,,,,,,gmail
131,132,Kenna Bailey,WV,39.5619,-80.1619,Google,2372,63,0.0,0.0,212.6642,0.0,3.0,0.0,yahoo
132,133,Christopher Hilll,MT,47.6208,-105.389,Facebook,3022,43,,,,,,,hotmail
133,134,Orie Bartoletti,WA,47.3232,-119.309,Twitter,2270,28,691.7351,323.0664,537.876,350.25550000000004,6.0,0.0,yahoo
134,135,Rhett Mante,OH,41.4142,-81.9847,Affiliate,2164,34,0.0,0.0,86.7924,0.0,1.0,0.0,yahoo
135,136,Aliyah Stracke,TX,30.9388,-96.0701,Twitter,2334,49,328.293,501.656,295.1992,347.4838,11.0,0.0,gmail
136,137,Dayton Keebler,AR,33.4107,-93.8873,Google,2357,64,,,,,,,yahoo
137,138,Unique Runolfsson,MN,44.2975,-95.6825,Twitter,2408,49,1097.5542,1006.8243,1735.4965000000002,1101.6307,23.0,0.043478260869565216,yahoo
138,139,Norene Flatley,TX,29.1134,-97.021,Google,3054,29,110.2116,44.0462,115.7444,46.1028,5.0,0.2,yahoo
139,140,Walker Conroy,LA,30.3818,-91.1954,Affiliate,2746,63,0.0,684.1548,225.2586,548.2707999999999,8.0,0.25,gmail
140,141,Alvina Mertz,MN,48.2058,-94.5749,Facebook,2676,30,519.3519,696.4855,1265.2066,815.9131,17.0,0.11764705882352941,gmail
141,142,Sheridan VonRueden,WI,45.478,-92.5522,Organic,2313,31,106.1661,570.6774,119.9655,725.961,12.0,0.16666666666666666,hotmail
142,143,Melyna Koepp,NE,42.3286,-97.0178,Twitter,2129,64,,,,,,,gmail
143,144,Savanah Fahey,OH,38.828,-83.7551,Twitter,2847,32,,,,,,,gmail
144,145,Aryanna Hegmann,MI,44.7282,-83.4251,Facebook,2337,49,156.433,0.0,136.2495,366.4015,4.0,0.0,yahoo
145,146,Trenton Batz,MI,42.7991,-82.6671,Affiliate,2939,34,,,,,,,yahoo
146,147,Eileen Mayert,CA,35.1663,-118.477,Facebook,2702,30,59.0344,419.1251,474.20029999999997,46.1028,7.0,0.14285714285714285,gmail
147,148,Madie Bayer,MS,33.6873,-90.2063,Organic,2161,61,374.355,631.4476999999999,156.17000000000002,905.2755999999999,14.0,0.14285714285714285,hotmail
148,149,Madonna Kertzmann,VA,37.5746,-78.4726,Facebook,3034,29,75.9672,990.8399,784.8437,1590.3688,19.0,0.15789473684210525,hotmail
149,150,Henderson Hansen,SC,32.6821,-79.8918,Facebook,2386,65,1001.0926,2072.9121999999998,905.6942,568.2319,25.0,0.12,hotmail
150,151,Khalid McKenzie,WY,42.6072,-105.51,Twitter,2354,28,1759.8287,1589.5266000000001,2526.3216,968.3181,28.0,0.0,gmail
151,152,Ethan Kling,ND,46.037,-96.7549,Facebook,2920,54,325.6815,272.921,249.7848,111.336,4.0,0.0,yahoo
152,153,Lewis Hoppe,WI,44.9074,-92.6595,Google,2794,57,273.61310000000003,815.8606,767.4494,1665.6625,19.0,0.15789473684210525,gmail
153,154,Monserrate Schuppe,CO,40.548,-105.474,Organic,2850,35,1204.1493,1084.0457,848.6754000000001,1447.0882,31.0,0.06451612903225806,gmail
154,155,Trisha Hoeger,KY,37.7531,-87.9232,Affiliate,3182,42,1880.5394000000001,5541.165,2040.8048,3779.2657,36.0,0.1388888888888889,yahoo
155,156,Lolita Zemlak,IL,39.7321,-90.2452,Twitter,2271,31,316.442,637.842,355.74830000000003,0.0,6.0,0.0,yahoo
156,157,Ferne Tremblay,NC,35.9256,-76.3022,Affiliate,2154,26,,,,,,,yahoo
157,158,Maye Toy,MO,36.8939,-89.7838,Affiliate,3149,41,479.0756,348.3644,1453.8352,989.8441999999999,16.0,0.125,yahoo
158,159,Mattie Bayer,IA,41.8323,-91.2777,Organic,2180,42,835.6489,2036.4335,1218.9753,908.7822,16.0,0.125,hotmail
159,160,Jordane Pacocha,IN,40.9164,-86.0972,Twitter,3215,56,,,,,,,hotmail
160,161,Rupert Ruecker,AL,32.7826,-85.387,Organic,2714,39,259.2126,0.0,447.29319999999996,389.5368,7.0,0.14285714285714285,yahoo
161,162,Destiney Swaniawski,OH,41.1257,-82.8288,Twitter,2524,46,,,,,,,hotmail
162,163,Rowena Hodkiewicz,NE,41.3167,-101.014,Twitter,2949,31,,,,,,,yahoo
163,164,Sabryna Schumm,MN,47.0766,-93.5084,Facebook,3173,65,0.0,0.0,514.5165000000001,493.72349999999994,4.0,0.25,gmail
164,165,Pattie Senger,GA,31.2316,-84.5972,Facebook,2362,62,,,,,,,yahoo
165,166,Carmelo Carter,MI,45.363,-84.3085,Google,2820,61,,,,,,,gmail
166,167,Grady Sipes,NC,35.8229,-81.5748,Organic,2404,31,0.0,0.0,244.7934,77.3983,2.0,0.0,yahoo
167,168,Lucile Bednar,TX,30.3281,-96.7381,Google,2529,46,,,,,,,gmail
168,169,Arnaldo Bartell,NY,40.9747,-72.1968,Organic,2296,45,413.4015,1282.115,206.77769999999998,534.1842,14.0,0.14285714285714285,gmail
169,170,Mohammed Beatty,MT,45.8241,-104.309,Google,2185,54,0.0,1138.6109999999999,291.1181,1221.2618,9.0,0.2222222222222222,gmail
170,171,Raphael Wolff,MN,48.8885,-96.6728,Twitter,3094,29,,,,,,,hotmail
171,172,Maryam Weimann,TX,32.3126,-102.396,Facebook,2753,28,126.91,758.6744000000001,220.3571,277.1145,9.0,0.0,gmail
172,173,Howard Gaylord,OH,41.1678,-82.4357,Google,2605,44,2117.2488,171.4456,280.9605,763.6844,18.0,0.16666666666666666,hotmail
173,174,Quentin Cummings,CA,34.8981,-114.783,Facebook,2243,60,226.6256,350.4764,356.8086,0.0,3.0,0.0,gmail
174,175,Ernestina Gerhold,IA,41.9774,-94.0697,Twitter,2229,47,,,,,,,gmail
175,176,Rebeca Parisian,MI,42.053,-85.5144,Google,2915,32,359.6311,88.147,0.0,219.66000000000003,5.0,0.4,hotmail
176,177,Nikko Haag,IL,42.1729,-89.7459,Google,2574,46,369.1322,1143.8853,773.2436,490.70779999999996,11.0,0.2727272727272727,yahoo
177,178,Joanie Cruickshank,NY,42.0122,-79.0464,Organic,2596,51,,,,,,,yahoo
178,179,Van Windler,LA,31.6308,-91.5771,Google,2248,43,1071.9369000000002,595.3854,229.94119999999998,1064.1308,14.0,0.14285714285714285,hotmail
179,180,Wilma Roob,MO,37.1765,-94.0074,Google,2425,40,,,,,,,yahoo
180,181,Evalyn Moen,CA,36.7805,-120.066,Twitter,2190,56,0.0,185.2776,0.0,1344.6526,5.0,0.4,gmail
181,182,Dana Orn,TN,35.3407,-86.8555,Twitter,2364,62,,,,,,,hotmail
182,183,Rodolfo Larkin,ID,48.6032,-116.973,Google,2534,64,838.819,238.59340000000003,436.4565,1318.5547000000001,12.0,0.0,yahoo
183,184,Jesse Daugherty,PA,41.5309,-78.0837,Organic,2920,64,246.1716,0.0,532.3732,358.5219,5.0,0.2,yahoo
184,185,Audra Hane,WA,46.2864,-122.272,Organic,2444,52,,,,,,,gmail
185,186,Caitlyn Dach,GA,32.377,-81.5191,Organic,2889,60,55.1058,391.0857,0.0,484.6008,5.0,0.4,gmail
186,187,Bethel Schultz,TN,35.507,-89.3736,Google,2710,47,168.1533,34.0854,0.0,0.0,2.0,0.0,gmail
187,188,Leda Hammes,ND,46.6409,-102.897,Facebook,2935,26,,,,,,,gmail
188,189,Vita Cummings,MO,39.605,-91.3184,Google,2152,39,,,,,,,gmail
189,190,Oswald Corwin,PA,41.8804,-76.3495,Facebook,2930,49,0.0,170.033,0.0,0.0,1.0,0.0,gmail
190,191,Mustafa Steuber,WI,45.1939,-91.1803,Twitter,2199,50,,,,,,,gmail
191,192,Haleigh Funk,SC,32.845,-81.0811,Affiliate,3037,27,,,,,,,gmail
192,193,Berta Roob,MS,33.1326,-89.1537,Google,2227,34,,,,,,,yahoo
193,194,Destany Friesen,MO,37.1924,-92.5358,Google,3072,65,312.866,0.0,0.0,94.8025,2.0,0.0,hotmail
194,195,Green Carter,MO,37.9059,-94.5065,Organic,2345,65,,,,,,,hotmail
195,196,Alvena Legros,AZ,31.3797,-110.957,Organic,3214,50,,,,,,,hotmail
196,197,Aletha Kertzmann,OR,42.1608,-121.886,Affiliate,2260,35,295.9672,369.51849999999996,122.97,0.0,6.0,0.3333333333333333,gmail
197,198,Tamara Sawayn,IA,42.7741,-91.2382,Organic,2144,31,0.0,783.2361,186.0694,464.3898,10.0,0.0,yahoo
198,199,Adan Weissnat,OH,40.3965,-82.9793,Affiliate,2403,64,405.62760000000003,0.0,1668.7844,257.2937,8.0,0.0,yahoo
199,200,Thalia Hirthe,MN,44.4338,-95.3307,Organic,2225,33,825.8478,0.0,114.7532,0.0,6.0,0.16666666666666666,yahoo
200,201,Ford Larkin,AK,59.7546,-154.872,Facebook,2871,52,0.0,568.1647,319.243,364.6286,10.0,0.1,yahoo
201,202,Delphia Price,MO,37.28,-89.8329,Affiliate,3185,30,,,,,,,yahoo
202,203,Jessika Treutel,TX,30.0021,-94.2665,Affiliate,2350,43,187.596,334.1148,0.0,0.0,3.0,0.3333333333333333,yahoo
203,204,Enos Donnelly,TX,30.206,-99.0854,Twitter,2926,40,196.7586,319.3068,261.87390000000005,1240.1126,7.0,0.0,hotmail
204,205,Lowell Daniel,TN,36.1941,-87.9898,Facebook,2374,50,298.987,717.6461999999999,902.3011,581.0418999999999,11.0,0.18181818181818182,gmail
205,206,Marcelina Jast,NE,41.3769,-102.107,Google,2277,42,,,,,,,hotmail
206,207,Earnest Huels,AK,55.294,-160.679,Organic,2888,36,,,,,,,hotmail
207,208,Alisha Deckow,IL,37.8951,-89.0642,Affiliate,2474,37,455.30830000000003,526.8098,683.4893,1369.6158,18.0,0.05555555555555555,hotmail
208,209,Kyleigh Beier,IL,41.6864,-88.634,Organic,2802,56,,,,,,,gmail
209,210,Earnestine Prohaska,TX,29.277,-95.6042,Twitter,2841,38,0.0,0.0,623.0944999999999,269.1205,3.0,0.0,gmail
210,211,Quinn Stokes,SD,44.765,-99.0478,Organic,2723,48,0.0,420.73260000000005,2715.5978000000005,509.9654,7.0,0.0,hotmail
211,212,Jacinthe Rowe,CO,38.2021,-105.637,Organic,2528,57,,,,,,,gmail
212,213,Connie Davis,GA,34.716,-84.6347,Google,2327,60,231.1227,701.2234,1176.7316,464.63339999999994,12.0,0.08333333333333333,yahoo
